Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
125,tt0048980,2016-09-14,2016-09-14,Best Screenplay - Original,Le ballon rouge,https://www.imdb.com/title/tt0048980/,short,8.1,34,1956,"Short, Comedy, Drama, Family, Fantasy",18761,1956-05-03,Albert Lamorisse
126,tt0049030,2016-09-14,2016-09-14,Motion Picture Story,The Brave One,https://www.imdb.com/title/tt0049030/,movie,6.6,100,1956,"Drama, Family",953,1956-10-26,Irving Rapper
127,tt0048960,2016-09-14,2016-09-14,Best Screenplay - Adapted,Around the World in 80 Days,https://www.imdb.com/title/tt0048960/,movie,6.7,167,1956,"Adventure, Comedy, Family, Romance",27796,1956-10-17,"John Farrow, Michael Anderson"
128,tt0048356,2016-09-14,2016-09-14,Screenplay,Marty,https://www.imdb.com/title/tt0048356/,movie,7.7,90,1955,"Drama, Romance",24618,1955-04-11,Delbert Mann
129,tt0048317,2016-09-14,2016-09-14,Motion Picture Story,Love Me or Leave Me,https://www.imdb.com/title/tt0048317/,movie,7.1,122,1955,"Biography, Drama, Music, Romance",4309,1955-05-26,Charles Vidor
130,tt0048210,2016-09-14,2016-09-14,Story and Screenplay,Interrupted Melody,https://www.imdb.com/title/tt0048210/,movie,6.7,106,1955,"Biography, Drama, Music",1079,1955-04-20,Curtis Bernhardt
131,tt0046874,2016-09-14,2016-09-14,Screenplay,The Country Girl,https://www.imdb.com/title/tt0046874/,movie,7.3,104,1954,"Drama, Music",6138,1954-12-15,George Seaton
132,tt0046808,2016-09-14,2016-09-14,Motion Picture Story,Broken Lance,https://www.imdb.com/title/tt0046808/,movie,6.9,96,1954,"Adventure, Drama, Western",3926,1954-07-29,Edward Dmytryk
133,tt0047296,2016-09-14,2016-09-14,Story and Screenplay,On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.1,108,1954,"Crime, Drama, Thriller",155537,1954-06-22,Elia Kazan
134,tt0045793,2016-09-14,2016-09-14,Screenplay,From Here to Eternity,https://www.imdb.com/title/tt0045793/,movie,7.6,118,1953,"Drama, Romance, War",47418,1953-08-05,Fred Zinnemann
135,tt0046250,2016-09-14,2016-09-14,Motion Picture Story,Roman Holiday,https://www.imdb.com/title/tt0046250/,movie,8.0,118,1953,"Comedy, Romance",138998,1953-08-20,William Wyler
136,tt0046435,2016-09-14,2016-09-14,Story and Screenplay,Titanic,https://www.imdb.com/title/tt0046435/,movie,7.0,98,1953,"Drama, History, Romance",7158,1953-04-11,Jean Negulesco
137,tt0044391,2016-09-14,2016-09-14,Screenplay,The Bad and the Beautiful,https://www.imdb.com/title/tt0044391/,movie,7.8,118,1952,"Drama, Romance",15177,1952-12-25,Vincente Minnelli
138,tt0044672,2016-09-14,2016-09-14,Motion Picture Story,The Greatest Show on Earth,https://www.imdb.com/title/tt0044672/,movie,6.6,152,1952,"Drama, Family, Romance",14775,1952-01-10,Cecil B. DeMille
139,tt0044829,2016-09-14,2016-09-14,Story and Screenplay,The Lavender Hill Mob,https://www.imdb.com/title/tt0044829/,movie,7.5,78,1951,"Comedy, Crime",14550,1951-06-28,Charles Crichton
140,tt0043924,2016-09-14,2016-09-14,Screenplay,A Place in the Sun,https://www.imdb.com/title/tt0043924/,movie,7.7,122,1951,"Drama, Romance",22940,1951-04-05,George Stevens
141,tt0042949,2016-09-14,2016-09-14,Motion Picture Story,Seven Days to Noon,https://www.imdb.com/title/tt0042949/,movie,7.0,94,1950,"Drama, Thriller",1918,1950-09-14,"John Boulting, Roy Boulting"
142,tt0043278,2016-09-14,2016-09-14,Story and Screenplay,An American in Paris,https://www.imdb.com/title/tt0043278/,movie,7.2,114,1951,"Drama, Musical, Romance",34201,1951-08-26,Vincente Minnelli
143,tt0042192,2016-09-14,2016-09-14,Screenplay,All About Eve,https://www.imdb.com/title/tt0042192/,movie,8.2,138,1950,Drama,131720,1950-10-13,Joseph L. Mankiewicz
144,tt0042832,2016-09-14,2016-09-14,Motion Picture Story,Panic in the Streets,https://www.imdb.com/title/tt0042832/,movie,7.2,96,1950,"Crime, Drama, Film-Noir, Thriller",8153,1950-07-01,Elia Kazan
145,tt0043014,2016-09-14,2016-09-14,Story and Screenplay,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",221950,1950-08-04,Billy Wilder
146,tt0041587,2016-09-14,2016-09-14,Screenplay,A Letter to Three Wives,https://www.imdb.com/title/tt0041587/,movie,7.7,103,1949,"Comedy, Drama, Romance",9953,1949-01-20,Joseph L. Mankiewicz
147,tt0041928,2016-09-14,2016-09-14,Motion Picture Story,The Stratton Story,https://www.imdb.com/title/tt0041928/,movie,7.1,106,1949,"Biography, Drama, Romance, Sport",3121,1949-04-21,Sam Wood
148,tt0041163,2016-09-14,2016-09-14,Story and Screenplay,Battleground,https://www.imdb.com/title/tt0041163/,movie,7.4,118,1949,"Action, Drama, History, War",7345,1949-11-09,William A. Wellman
149,tt0040897,2016-09-14,2016-09-14,Screenplay,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,movie,8.2,126,1948,"Adventure, Drama, Western",125341,1948-01-14,John Huston
150,tt0040765,2016-09-14,2016-09-14,Motion Picture Story,The Search,https://www.imdb.com/title/tt0040765/,movie,7.8,104,1948,"Drama, War",4462,1948-02-06,Fred Zinnemann
151,tt0039169,2016-09-14,2016-09-14,Original Screenplay,The Bachelor and the Bobby-Soxer,https://www.imdb.com/title/tt0039169/,movie,7.2,95,1947,"Comedy, Romance",8991,1947-07-24,Irving Reis
